movie_id,title,release_year,genre,duration_min,catalog_date,popularity_score,quality_score
M0197,Movie 0197,2007,Action,113,2023-01-19,0.0171,3.07
M0104,Movie 0104,1997,Fantasy,138,2023-01-19,0.0303,3.47
M0496,Movie 0496,2016,Action,148,2023-01-21,0.0461,3.76
M0032,Movie 0032,2015,Animation,86,2023-01-21,0.0091,4.28
M0259,Movie 0259,1993,Comedy,94,2023-01-21,0.048,3.33
M1069,Movie 1069,1995,Drama,109,2023-01-21,0.0179,3.19
M0495,Movie 0495,2013,Family,118,2023-01-22,0.0125,3.54
M0421,Movie 0421,2024,Drama,131,2023-01-22,0.0346,3.48
M0593,Movie 0593,2017,Drama,126,2023-01-23,0.0553,2.78
M0097,Movie 0097,2000,Thriller,103,2023-01-23,0.0208,3.99
M0583,Movie 0583,2021,Action,101,2023-01-24,0.044,3.12
M0780,Movie 0780,2026,Thriller,111,2023-01-24,0.0087,3.52
M0699,Movie 0699,2021,Drama,115,2023-01-25,0.0759,3.8
M0210,Movie 0210,1992,Romance,112,2023-01-25,0.0148,3.07
M1073,Movie 1073,1994,Thriller,147,2023-01-26,0.0042,3.44
M1058,Movie 1058,2019,Crime,93,2023-01-26,0.2236,3.16
M0446,Movie 0446,2009,Thriller,103,2023-01-26,0.0254,3.92
M1033,Movie 1033,2022,Family,106,2023-01-26,0.0445,5.0
M0853,Movie 0853,2006,Drama,116,2023-01-27,0.0047,3.58
M0565,Movie 0565,2007,Drama,143,2023-01-27,0.0487,3.45
M1076,Movie 1076,2021,Sci-Fi,115,2023-02-01,0.0275,3.49
M0212,Movie 0212,1995,Fantasy,124,2023-02-02,0.0188,2.87
M0682,Movie 0682,1992,Comedy,77,2023-02-02,0.0548,3.83
M0882,Movie 0882,2006,Action,126,2023-02-03,0.0059,3.41
M0728,Movie 0728,2000,Comedy,71,2023-02-03,0.1742,4.08
M0918,Movie 0918,2004,Comedy,116,2023-02-03,0.0207,3.42
M0043,Movie 0043,1999,Drama,116,2023-02-03,0.008,3.48
M0196,Movie 0196,1991,Crime,112,2023-02-04,0.0126,4.02
M0675,Movie 0675,2000,Adventure,119,2023-02-04,0.016,3.84
M0948,Movie 0948,1996,Thriller,117,2023-02-05,0.0646,2.89
M1164,Movie 1164,1994,Comedy,70,2023-02-06,0.0345,3.12
M0822,Movie 0822,1999,Fantasy,142,2023-02-06,0.0059,4.26
M0414,Movie 0414,2014,Action,118,2023-02-07,0.0176,3.27
M0244,Movie 0244,2009,Adventure,86,2023-02-07,0.0869,3.86
M1158,Movie 1158,2014,Crime,129,2023-02-08,0.0853,4.0
M0455,Movie 0455,1994,Animation,107,2023-02-08,0.0418,3.1
M1153,Movie 1153,2002,Romance,115,2023-02-09,0.0338,2.89
M0022,Movie 0022,2014,Comedy,99,2023-02-09,0.1758,4.1
M0238,Movie 0238,2024,Drama,132,2023-02-09,0.0441,4.31
M0340,Movie 0340,2013,Thriller,100,2023-02-10,0.201,3.47
M0607,Movie 0607,1998,Thriller,121,2023-02-11,0.1752,2.96
M0681,Movie 0681,2003,Drama,116,2023-02-11,0.0019,3.61
M1166,Movie 1166,2015,Fantasy,114,2023-02-11,0.1457,4.68
M0047,Movie 0047,1995,Action,114,2023-02-11,0.0158,3.5
M0554,Movie 0554,1990,Crime,116,2023-02-11,0.0287,3.18
M0619,Movie 0619,2015,Drama,114,2023-02-12,0.5785,2.59
M0156,Movie 0156,2011,Documentary,84,2023-02-12,0.0789,2.5
M0198,Movie 0198,1990,Romance,124,2023-02-13,0.0025,4.45
M0875,Movie 0875,2020,Documentary,107,2023-02-13,0.0017,2.76
M0111,Movie 0111,2022,Sci-Fi,123,2023-02-14,0.1311,4.43
M0608,Movie 0608,2009,Comedy,92,2023-02-15,0.0367,4.04
M0723,Movie 0723,2009,Romance,101,2023-02-16,0.0324,2.81
M0336,Movie 0336,2002,Sci-Fi,111,2023-02-16,0.0558,3.44
M1103,Movie 1103,2008,Action,98,2023-02-16,0.0182,3.41
M0386,Movie 0386,1990,Documentary,85,2023-02-16,0.0109,4.05
M0901,Movie 0901,2006,Crime,119,2023-02-17,0.0274,5.0
M0297,Movie 0297,2018,Fantasy,124,2023-02-17,0.1882,3.24
M0836,Movie 0836,2006,Comedy,86,2023-02-17,0.1442,2.93
M1115,Movie 1115,1991,Crime,128,2023-02-18,0.2348,3.36
M0206,Movie 0206,2011,Comedy,64,2023-02-18,0.0469,4.32
M0873,Movie 0873,2014,Horror,102,2023-02-18,0.0126,2.91
M0061,Movie 0061,1997,Adventure,117,2023-02-18,0.0404,4.19
M0654,Movie 0654,2009,Fantasy,138,2023-02-19,0.0692,3.64
M1168,Movie 1168,2007,Sci-Fi,142,2023-02-19,0.0386,4.18
M0424,Movie 0424,1995,Family,103,2023-02-19,0.0161,3.37
M0994,Movie 0994,2011,Action,155,2023-02-19,0.0332,3.62
M0223,Movie 0223,1996,Drama,131,2023-02-20,0.0484,4.11
M1053,Movie 1053,1991,Action,110,2023-02-20,0.0713,3.38
M0266,Movie 0266,2011,Fantasy,136,2023-02-20,0.0364,2.73
M0190,Movie 0190,2017,Romance,127,2023-02-20,0.0161,3.84
M0959,Movie 0959,2024,Documentary,75,2023-02-20,0.0206,4.08
M0108,Movie 0108,1997,Crime,120,2023-02-20,0.1209,2.91
M0516,Movie 0516,2006,Comedy,109,2023-02-20,0.0427,3.55
M1159,Movie 1159,2015,Horror,107,2023-02-21,0.0216,3.16
M0946,Movie 0946,2005,Documentary,105,2023-02-21,0.0382,3.5
M0886,Movie 0886,1995,Horror,112,2023-02-21,0.0228,3.45
M0757,Movie 0757,2015,Action,96,2023-02-21,0.0165,3.54
M0927,Movie 0927,2006,Romance,125,2023-02-21,0.0297,3.1
M0467,Movie 0467,2010,Sci-Fi,123,2023-02-21,0.1103,3.62
M0524,Movie 0524,1991,Documentary,102,2023-02-22,0.4734,3.61
M1018,Movie 1018,2023,Fantasy,104,2023-02-22,0.0222,3.71
M0021,Movie 0021,2003,Comedy,111,2023-02-23,0.03,3.62
M0474,Movie 0474,2015,Drama,78,2023-02-23,0.0354,3.79
M1027,Movie 1027,2012,Action,106,2023-02-23,0.1429,3.33
M1046,Movie 1046,2022,Romance,88,2023-02-24,0.0296,3.76
M1182,Movie 1182,1992,Fantasy,131,2023-02-24,0.0158,2.66
M0464,Movie 0464,2012,Comedy,103,2023-02-24,0.1805,2.82
M0487,Movie 0487,1992,Action,133,2023-02-25,0.1013,3.21
M0656,Movie 0656,2020,Thriller,107,2023-02-25,0.115,2.81
M1095,Movie 1095,1993,Comedy,91,2023-02-26,0.0095,3.28
M0922,Movie 0922,2025,Sci-Fi,86,2023-02-26,0.0211,2.7
M0759,Movie 0759,2025,Crime,125,2023-02-26,0.0348,4.12
M0405,Movie 0405,1992,Comedy,86,2023-02-27,0.0352,3.53
M0630,Movie 0630,2004,Romance,74,2023-02-27,0.0287,3.27
M1040,Movie 1040,2007,Horror,116,2023-03-01,0.0121,3.18
M0579,Movie 0579,2005,Animation,86,2023-03-01,0.0277,3.43
M0947,Movie 0947,2026,Fantasy,131,2023-03-01,0.0219,2.21
M0622,Movie 0622,2008,Animation,112,2023-03-02,0.0102,3.78
M0082,Movie 0082,2000,Drama,121,2023-03-02,0.1035,3.3
M0970,Movie 0970,2009,Sci-Fi,121,2023-03-02,0.8897,3.15
M1030,Movie 1030,2018,Fantasy,104,2023-03-02,0.0041,4.35
M0447,Movie 0447,2010,Drama,130,2023-03-03,0.045,4.44
M0526,Movie 0526,2015,Thriller,99,2023-03-04,0.0162,3.78
M0030,Movie 0030,2012,Animation,94,2023-03-04,0.1877,4.36
M0772,Movie 0772,1992,Documentary,83,2023-03-05,0.0017,3.18
M0176,Movie 0176,2025,Horror,86,2023-03-05,0.0099,4.48
M0381,Movie 0381,1990,Comedy,101,2023-03-05,0.0098,3.38
M0795,Movie 0795,2021,Horror,105,2023-03-05,0.088,3.53
M0136,Movie 0136,1994,Thriller,125,2023-03-05,0.0499,3.89
M1123,Movie 1123,2013,Comedy,101,2023-03-06,0.0848,3.67
M0814,Movie 0814,2008,Horror,99,2023-03-06,0.0085,3.41
M0142,Movie 0142,2003,Sci-Fi,125,2023-03-07,0.0135,3.51
M0473,Movie 0473,2016,Action,107,2023-03-07,0.0334,3.81
M0742,Movie 0742,2025,Comedy,113,2023-03-07,0.0275,3.76
M0208,Movie 0208,2015,Drama,116,2023-03-07,0.0297,3.28
M0103,Movie 0103,2024,Family,100,2023-03-07,0.0051,3.42
M0410,Movie 0410,1990,Comedy,89,2023-03-08,0.4958,4.68
M0775,Movie 0775,1994,Documentary,98,2023-03-08,0.2803,3.09
M0899,Movie 0899,1993,Sci-Fi,115,2023-03-08,0.0344,2.69
M1147,Movie 1147,1999,Sci-Fi,124,2023-03-09,0.0708,1.85
M0376,Movie 0376,1994,Romance,114,2023-03-09,0.0747,3.57
M0513,Movie 0513,2004,Thriller,73,2023-03-09,0.0396,4.31
M1125,Movie 1125,2009,Thriller,121,2023-03-10,0.115,3.4
M0631,Movie 0631,1996,Fantasy,119,2023-03-11,0.0051,3.31
M0713,Movie 0713,1997,Animation,123,2023-03-11,0.0907,2.64
M0569,Movie 0569,2000,Thriller,123,2023-03-12,0.0357,3.3
M1007,Movie 1007,2007,Thriller,112,2023-03-12,0.0547,4.03
M0370,Movie 0370,2009,Family,113,2023-03-12,0.021,3.43
M0661,Movie 0661,2014,Horror,118,2023-03-13,0.2392,3.51
M0890,Movie 0890,2007,Sci-Fi,115,2023-03-13,0.023,3.71
M0953,Movie 0953,2006,Action,116,2023-03-13,0.0082,4.31
M1152,Movie 1152,2010,Thriller,96,2023-03-14,0.0141,3.2
M0063,Movie 0063,2017,Action,103,2023-03-14,0.016,4.14
M0279,Movie 0279,2019,Animation,102,2023-03-14,0.1531,2.87
M0416,Movie 0416,2013,Thriller,89,2023-03-15,0.0493,2.78
M0460,Movie 0460,2013,Sci-Fi,122,2023-03-15,0.2444,3.75
M0921,Movie 0921,2007,Action,114,2023-03-16,0.0301,3.61
M0672,Movie 0672,1999,Family,111,2023-03-16,0.0295,4.26
M0065,Movie 0065,2009,Drama,114,2023-03-16,0.0295,3.3
M0262,Movie 0262,2024,Romance,123,2023-03-17,0.0514,3.15
M0966,Movie 0966,2016,Romance,126,2023-03-17,0.0235,3.93
M0859,Movie 0859,2013,Thriller,119,2023-03-17,0.0318,3.25
M1015,Movie 1015,1991,Drama,104,2023-03-17,0.0107,3.74
M0180,Movie 0180,2004,Crime,108,2023-03-17,0.1394,3.28
M0079,Movie 0079,2008,Romance,87,2023-03-18,0.0141,3.59
M0518,Movie 0518,2016,Adventure,119,2023-03-18,0.0068,4.17
M1005,Movie 1005,2006,Adventure,116,2023-03-19,0.1179,3.09
M0159,Movie 0159,2022,Sci-Fi,118,2023-03-19,0.0091,2.01
M0733,Movie 0733,2005,Action,90,2023-03-19,0.021,4.42
M1020,Movie 1020,2009,Adventure,119,2023-03-21,0.0169,3.76
M0858,Movie 0858,2007,Drama,124,2023-03-21,0.0146,3.28
M0687,Movie 0687,2001,Drama,89,2023-03-22,0.0028,3.21
M0824,Movie 0824,1996,Documentary,95,2023-03-22,0.0503,3.25
M0471,Movie 0471,1992,Horror,116,2023-03-23,0.4787,4.29
M1098,Movie 1098,2006,Animation,88,2023-03-23,0.0102,2.68
M0131,Movie 0131,1999,Horror,118,2023-03-23,0.0104,3.54
M0628,Movie 0628,2004,Adventure,116,2023-03-24,0.0137,3.58
M0323,Movie 0323,2007,Romance,111,2023-03-24,0.0457,2.41
M0226,Movie 0226,2026,Sci-Fi,98,2023-03-24,0.0282,2.55
M0819,Movie 0819,1998,Drama,118,2023-03-25,0.0829,4.31
M0391,Movie 0391,1994,Fantasy,130,2023-03-25,0.0606,3.45
M0926,Movie 0926,1995,Adventure,92,2023-03-25,0.0255,4.08
M0277,Movie 0277,2025,Sci-Fi,154,2023-03-25,0.0449,4.14
M0575,Movie 0575,1993,Thriller,101,2023-03-25,0.1201,3.0
M0085,Movie 0085,1994,Fantasy,114,2023-03-26,0.0105,3.14
M0537,Movie 0537,1996,Drama,138,2023-03-26,0.0155,3.57
M0006,Movie 0006,2008,Drama,115,2023-03-26,0.0643,3.72
M0379,Movie 0379,2012,Drama,121,2023-03-26,0.0193,3.94
M0667,Movie 0667,2016,Romance,111,2023-03-27,0.0475,3.42
M1198,Movie 1198,1996,Adventure,108,2023-03-27,0.1444,3.38
M1175,Movie 1175,2023,Drama,108,2023-04-01,0.0161,3.28
M0075,Movie 0075,1992,Romance,77,2023-04-01,0.0223,2.62
M0068,Movie 0068,2005,Horror,109,2023-04-01,0.0411,4.19
M0295,Movie 0295,2021,Adventure,105,2023-04-01,0.0403,2.64
M0830,Movie 0830,2010,Sci-Fi,133,2023-04-01,0.0058,4.59
M0578,Movie 0578,2024,Animation,97,2023-04-02,0.0197,4.07
M0697,Movie 0697,2022,Action,120,2023-04-02,0.0376,3.97
M1059,Movie 1059,2009,Action,144,2023-04-02,0.0221,3.06
M0997,Movie 0997,2002,Action,107,2023-04-02,0.1651,4.01
M0310,Movie 0310,2007,Horror,89,2023-04-02,0.1447,2.91
M0363,Movie 0363,2008,Comedy,100,2023-04-02,0.0416,3.18
M0359,Movie 0359,1993,Documentary,106,2023-04-03,0.0219,4.35
M0274,Movie 0274,1999,Sci-Fi,123,2023-04-03,0.0174,3.45
M0520,Movie 0520,1993,Documentary,103,2023-04-04,0.0234,3.92
M0371,Movie 0371,2015,Comedy,90,2023-04-04,0.0204,2.83
M1004,Movie 1004,2014,Crime,109,2023-04-04,0.02,3.06
M0382,Movie 0382,1998,Comedy,90,2023-04-04,0.0044,3.59
M0827,Movie 0827,2010,Documentary,100,2023-04-04,0.0251,3.54
M0649,Movie 0649,1992,Crime,123,2023-04-05,0.004,4.17
M0717,Movie 0717,2014,Comedy,93,2023-04-05,0.0264,3.86
M0477,Movie 0477,2018,Drama,110,2023-04-05,0.0216,4.39
M0577,Movie 0577,2020,Documentary,114,2023-04-05,0.1019,4.18
M1047,Movie 1047,2004,Documentary,114,2023-04-06,0.0447,3.65
M0760,Movie 0760,2014,Drama,123,2023-04-06,0.0508,3.27
M0876,Movie 0876,2021,Fantasy,114,2023-04-06,0.0089,3.36
M1062,Movie 1062,2017,Fantasy,115,2023-04-06,0.02,2.7
M1112,Movie 1112,1990,Documentary,79,2023-04-06,0.0096,3.13
M0327,Movie 0327,2001,Fantasy,124,2023-04-07,0.0033,3.37
M0547,Movie 0547,2020,Drama,101,2023-04-07,0.089,3.79
M0281,Movie 0281,2013,Fantasy,136,2023-04-07,0.016,3.3
M1145,Movie 1145,2001,Romance,113,2023-04-08,0.0178,3.42
M0100,Movie 0100,2021,Thriller,147,2023-04-09,0.0295,3.62
M0351,Movie 0351,2003,Drama,124,2023-04-09,0.0161,3.27
M0589,Movie 0589,2021,Comedy,104,2023-04-10,0.2643,3.96
M1010,Movie 1010,2023,Comedy,112,2023-04-11,0.0537,3.59
M1013,Movie 1013,2025,Thriller,127,2023-04-11,0.0274,3.94
M0124,Movie 0124,2023,Horror,129,2023-04-12,0.0327,3.36
M0965,Movie 0965,2000,Drama,105,2023-04-12,0.0269,3.58
M0036,Movie 0036,1995,Family,105,2023-04-12,0.1018,3.32
M0243,Movie 0243,2010,Thriller,102,2023-04-12,0.1934,3.33
M0200,Movie 0200,2005,Family,91,2023-04-12,0.013,4.39
M0906,Movie 0906,2010,Action,125,2023-04-12,0.0148,3.63
M0605,Movie 0605,2018,Action,108,2023-04-12,0.0645,3.82
M0342,Movie 0342,2024,Adventure,104,2023-04-13,0.0033,3.85
M0105,Movie 0105,2023,Drama,132,2023-04-14,0.0089,3.84
M0365,Movie 0365,2000,Action,156,2023-04-14,0.0144,2.71
M0152,Movie 0152,2022,Thriller,130,2023-04-14,0.0549,4.26
M0373,Movie 0373,1997,Adventure,124,2023-04-14,0.0048,3.02
M0761,Movie 0761,2003,Family,87,2023-04-15,0.1787,3.81
M0077,Movie 0077,1999,Comedy,118,2023-04-15,0.1129,2.43
M0848,Movie 0848,2023,Fantasy,113,2023-04-15,0.0121,3.44
M1038,Movie 1038,2001,Drama,72,2023-04-15,0.0116,3.28
M0862,Movie 0862,2008,Documentary,92,2023-04-16,0.0535,3.54
M1127,Movie 1127,2001,Comedy,113,2023-04-16,0.0108,4.07
M0900,Movie 0900,2016,Action,126,2023-04-17,0.0237,3.0
M0532,Movie 0532,2001,Drama,97,2023-04-17,0.0033,2.83
M0060,Movie 0060,1997,Thriller,95,2023-04-17,0.0205,3.25
M1124,Movie 1124,2000,Romance,104,2023-04-17,0.0084,2.57
M0646,Movie 0646,2002,Family,74,2023-04-18,1.0,3.74
M0445,Movie 0445,1993,Drama,117,2023-04-19,0.0131,4.26
M0521,Movie 0521,1990,Family,128,2023-04-19,0.0037,3.52
M0528,Movie 0528,2002,Thriller,92,2023-04-19,0.0369,4.42
M0902,Movie 0902,2025,Drama,91,2023-04-19,0.0049,3.35
M0617,Movie 0617,2009,Crime,74,2023-04-19,0.0225,3.83
M0564,Movie 0564,2023,Horror,112,2023-04-19,0.126,2.31
M0600,Movie 0600,1997,Action,124,2023-04-20,0.034,4.07
M0925,Movie 0925,2017,Horror,112,2023-04-21,0.0141,3.41
M1193,Movie 1193,2024,Fantasy,114,2023-04-21,0.028,3.17
M0587,Movie 0587,2016,Action,137,2023-04-21,0.073,2.92
M1066,Movie 1066,2005,Fantasy,158,2023-04-21,0.1726,3.8
M0253,Movie 0253,2021,Fantasy,138,2023-04-22,0.0385,3.25
M0571,Movie 0571,1998,Sci-Fi,129,2023-04-22,0.0072,4.15
M1178,Movie 1178,1992,Drama,121,2023-04-22,0.0142,3.79
M0028,Movie 0028,2022,Documentary,79,2023-04-22,0.0455,3.33
M0195,Movie 0195,2011,Drama,140,2023-04-23,0.065,3.32
M0214,Movie 0214,2002,Fantasy,117,2023-04-23,0.1407,3.64
M0388,Movie 0388,1995,Thriller,101,2023-04-24,0.0199,3.29
M0975,Movie 0975,1990,Thriller,128,2023-04-25,0.0857,2.19
M0066,Movie 0066,2012,Animation,103,2023-04-25,0.2083,2.82
M0112,Movie 0112,1993,Sci-Fi,146,2023-04-26,0.0048,3.82
M1022,Movie 1022,2001,Romance,130,2023-04-26,0.4926,4.32
M0360,Movie 0360,2025,Thriller,106,2023-04-26,0.0402,3.54
M0879,Movie 0879,1991,Drama,89,2023-04-27,0.0035,3.54
M0739,Movie 0739,1992,Fantasy,102,2023-04-27,0.0067,3.73
M0718,Movie 0718,1993,Documentary,80,2023-04-27,0.0045,3.46
M0691,Movie 0691,1997,Adventure,137,2023-05-01,0.0101,3.12
M0883,Movie 0883,2009,Drama,121,2023-05-02,0.0377,3.88
M0954,Movie 0954,2014,Drama,109,2023-05-02,0.0297,3.18
M0318,Movie 0318,2024,Family,111,2023-05-03,0.0361,2.95
M0482,Movie 0482,2015,Action,127,2023-05-04,0.2054,3.72
M0766,Movie 0766,2011,Documentary,91,2023-05-04,0.0102,3.76
M0459,Movie 0459,2013,Animation,100,2023-05-04,0.0152,3.38
M0227,Movie 0227,2011,Thriller,143,2023-05-05,0.0133,4.0
M0592,Movie 0592,2012,Fantasy,130,2023-05-05,0.0231,4.18
M1199,Movie 1199,2023,Family,115,2023-05-06,0.6383,2.17
M0341,Movie 0341,2014,Action,122,2023-05-06,0.1016,3.32
M0756,Movie 0756,1995,Romance,105,2023-05-06,0.0985,2.93
M0988,Movie 0988,1996,Crime,122,2023-05-06,0.1504,3.39
M0378,Movie 0378,2002,Thriller,114,2023-05-07,0.236,3.37
M0298,Movie 0298,2001,Action,113,2023-05-08,0.1284,4.08
M1043,Movie 1043,2010,Action,144,2023-05-08,0.0433,3.66
M0623,Movie 0623,1991,Sci-Fi,120,2023-05-08,0.0262,3.28
M0765,Movie 0765,1991,Horror,132,2023-05-08,0.0083,4.52
M0573,Movie 0573,2011,Comedy,106,2023-05-09,0.0169,3.82
M0647,Movie 0647,2000,Sci-Fi,138,2023-05-09,0.0024,3.26
M1064,Movie 1064,2013,Drama,99,2023-05-09,0.0097,3.65
M0157,Movie 0157,2001,Action,124,2023-05-10,0.0542,4.58
M1044,Movie 1044,2019,Romance,97,2023-05-10,0.0227,3.38
M0773,Movie 0773,2006,Animation,109,2023-05-11,0.2814,4.69
M0041,Movie 0041,2008,Family,121,2023-05-11,0.0269,3.26
M0443,Movie 0443,2005,Sci-Fi,85,2023-05-11,0.004,4.58
M0035,Movie 0035,2003,Documentary,75,2023-05-12,0.0415,3.37
M0548,Movie 0548,1994,Fantasy,140,2023-05-12,0.0955,4.47
M0729,Movie 0729,2024,Documentary,74,2023-05-12,0.143,2.88
M0374,Movie 0374,2025,Action,112,2023-05-12,0.0447,3.23
M0690,Movie 0690,1996,Crime,114,2023-05-12,0.0208,2.97
M0889,Movie 0889,2017,Action,112,2023-05-13,0.0068,3.09
M0823,Movie 0823,2026,Animation,113,2023-05-13,0.0693,3.87
M0428,Movie 0428,1992,Drama,119,2023-05-13,0.0304,3.95
M0501,Movie 0501,2009,Romance,106,2023-05-13,0.0208,3.08
M0719,Movie 0719,1992,Drama,137,2023-05-14,0.025,3.82
M0430,Movie 0430,2005,Animation,73,2023-05-14,0.0307,3.6
M0604,Movie 0604,2019,Animation,90,2023-05-14,0.0113,3.69
M0709,Movie 0709,1994,Comedy,100,2023-05-15,0.0679,3.6
M0462,Movie 0462,2007,Thriller,117,2023-05-15,0.0339,3.67
M1185,Movie 1185,2026,Crime,129,2023-05-15,0.0126,3.64
M1200,Movie 1200,1993,Sci-Fi,143,2023-05-15,0.0675,3.33
M0122,Movie 0122,1997,Thriller,121,2023-05-15,0.0147,3.44
M1096,Movie 1096,2015,Fantasy,122,2023-05-16,0.0649,4.01
M0245,Movie 0245,2015,Drama,121,2023-05-16,0.0425,3.49
M0923,Movie 0923,2017,Documentary,88,2023-05-17,0.0284,3.77
M0924,Movie 0924,2016,Fantasy,122,2023-05-18,0.0784,3.32
M0852,Movie 0852,2025,Thriller,146,2023-05-18,0.2935,2.93
M0412,Movie 0412,1995,Adventure,134,2023-05-18,0.0225,3.04
M0581,Movie 0581,2008,Horror,90,2023-05-18,0.0694,3.98
M0570,Movie 0570,2026,Comedy,102,2023-05-19,0.0301,3.53
M0283,Movie 0283,2007,Comedy,96,2023-05-19,0.0158,2.53
M0813,Movie 0813,1992,Fantasy,99,2023-05-21,0.0069,2.83
M1196,Movie 1196,2022,Family,106,2023-05-21,0.3409,3.86
M0671,Movie 0671,1992,Action,116,2023-05-22,0.1232,4.35
M0870,Movie 0870,1994,Comedy,60,2023-05-22,0.0078,3.02
M0849,Movie 0849,2017,Adventure,119,2023-05-22,0.008,2.33
M0829,Movie 0829,2005,Horror,126,2023-05-23,0.0782,3.3
M0007,Movie 0007,2026,Thriller,123,2023-05-23,0.01,3.14
M0352,Movie 0352,2008,Animation,132,2023-05-24,0.0243,3.51
M0887,Movie 0887,2014,Horror,77,2023-05-24,0.0243,2.82
M1037,Movie 1037,2025,Drama,112,2023-05-24,0.0224,2.96
M1003,Movie 1003,2011,Thriller,128,2023-05-24,0.0042,2.49
M0346,Movie 0346,2015,Fantasy,125,2023-05-25,0.0308,4.2
M0541,Movie 0541,1995,Family,99,2023-05-25,0.1428,3.27
M0872,Movie 0872,2004,Horror,91,2023-05-26,0.0384,3.1
M1101,Movie 1101,2026,Sci-Fi,100,2023-05-26,0.024,3.2
M0425,Movie 0425,2022,Family,89,2023-05-26,0.1036,3.08
M0050,Movie 0050,2014,Thriller,102,2023-05-26,0.0118,3.43
M1163,Movie 1163,2018,Crime,92,2023-05-27,0.0615,3.43
M0692,Movie 0692,2022,Crime,102,2023-05-27,0.0058,4.19
M1009,Movie 1009,2001,Thriller,115,2023-06-01,0.032,3.67
M0014,Movie 0014,1995,Thriller,130,2023-06-02,0.1267,3.01
M0863,Movie 0863,1996,Action,114,2023-06-02,0.0613,3.26
M0905,Movie 0905,1996,Animation,83,2023-06-03,0.0907,1.98
M0109,Movie 0109,2018,Thriller,123,2023-06-04,0.0163,3.47
M0561,Movie 0561,2003,Fantasy,163,2023-06-04,0.015,4.37
M0102,Movie 0102,2001,Documentary,86,2023-06-04,0.1046,2.76
M0684,Movie 0684,1996,Fantasy,125,2023-06-04,0.0173,3.89
M0231,Movie 0231,2023,Action,129,2023-06-04,0.0435,3.83
M0269,Movie 0269,2023,Thriller,98,2023-06-05,0.0053,3.52
M0141,Movie 0141,2022,Thriller,118,2023-06-05,0.1053,3.17
